nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,label
0.27693,0.12475157,0.29676282,0.10580711,0.2706324,0.109395124,0.4365756,0.08941331,0.3989152,0.09843239,0.616876,0.17266788,0.5067156,0.17312202,0.5739636,0.3258567,0.4330824,0.30783933,0.3607731,0.42958987,0.21391593,0.36162853,0.5748871,0.4452729,0.5211152,0.43483078,0.542089,0.6598456,0.5927311,0.6295905,0.63876086,0.88366765,0.80353475,0.80515546,0
0.33738443,0.11934863,0.36518547,0.099426135,0.31765726,0.10458275,0.5033907,0.08424178,0.39548257,0.096469365,0.67438984,0.17542869,0.49987125,0.17809536,0.6987672,0.33717635,0.41190982,0.30812797,0.7044426,0.49692473,0.15687549,0.3635557,0.59967643,0.45352116,0.5176459,0.4448956,0.5817015,0.66616553,0.64158756,0.63897955,0.68544495,0.8748963,0.8405266,0.80495197,0
0.33754855,0.11934634,0.36533406,0.09944702,0.31778118,0.104583226,0.5035735,0.0842372,0.39558852,0.09643074,0.67443955,0.17533876,0.49973962,0.17792487,0.6988028,0.33694446,0.4119946,0.30801478,0.7045267,0.49642548,0.15667208,0.36357686,0.59975517,0.4527359,0.5173352,0.44387105,0.58002514,0.66480696,0.6381011,0.6365661,0.68665385,0.8739794,0.8389168,0.802286,0
0.33979616,0.115512714,0.36105028,0.09622446,0.32800433,0.099729255,0.48467243,0.08084183,0.4228461,0.089555554,0.63810897,0.17641208,0.5154709,0.17238308,0.64866364,0.3430083,0.4129809,0.30380413,0.60478497,0.50599855,0.13985603,0.35636765,0.6048422,0.46411163,0.5576476,0.4509404,0.5862793,0.69283694,0.6566902,0.6462232,0.6818866,0.9082918,0.85267025,0.8192888,0
0.31035858,0.12704137,0.32924172,0.10450879,0.28924164,0.10925496,0.46592858,0.080084994,0.37890998,0.09317852,0.63152426,0.175202,0.51785326,0.1739903,0.6011007,0.3405762,0.39633346,0.30647078,0.53714806,0.50544924,0.13799419,0.36292753,0.5813812,0.46691707,0.5306246,0.4530536,0.55372643,0.69200265,0.6126153,0.6378748,0.67198706,0.89084154,0.81296784,0.80883783,0
0.30202267,0.113161445,0.32444385,0.092333026,0.28620303,0.09650718,0.4584112,0.07748504,0.38040823,0.088185415,0.6188914,0.1689221,0.528141,0.16848508,0.5616665,0.33108616,0.39417532,0.30329135,0.45842218,0.48686764,0.13233043,0.36982858,0.59864056,0.4587623,0.5589469,0.4479295,0.5626933,0.6811989,0.6005233,0.6399194,0.70452607,0.8871152,0.849197,0.81137776,0
0.29375586,0.12645516,0.29588208,0.104961604,0.28379795,0.11077945,0.4098665,0.085216954,0.43114236,0.100150704,0.6080269,0.1682883,0.5835424,0.17697507,0.48903313,0.3016528,0.41926855,0.31254622,0.12563822,0.3722262,0.12467078,0.37406445,0.6035314,0.4543744,0.6028023,0.44510022,0.56017995,0.6691182,0.6252017,0.63547987,0.73447293,0.8734467,0.8176266,0.80201733,0
0.2960852,0.1294612,0.29479653,0.10698883,0.28850153,0.1111563,0.40400532,0.08317023,0.4498933,0.094642736,0.58960056,0.17179328,0.605105,0.17459646,0.4853628,0.31536072,0.45715615,0.3167416,0.15992069,0.3795526,0.14782214,0.36780316,0.59278166,0.45391843,0.61431676,0.4441668,0.56584245,0.6767344,0.61557287,0.64420223,0.75758183,0.900231,0.83330625,0.83791053,0
0.29612085,0.1292849,0.29488885,0.106812194,0.28878117,0.11082922,0.40377367,0.083200455,0.45087573,0.09426208,0.59001607,0.17260109,0.6051993,0.17431894,0.48588166,0.3161053,0.46120805,0.31627503,0.14839856,0.3762597,0.14844331,0.36761415,0.5935013,0.45412225,0.61384356,0.44380912,0.5669524,0.6770362,0.61533046,0.64364,0.7585903,0.90071124,0.83317935,0.8373526,0
0.25970292,0.12944266,0.25981954,0.107686706,0.25769472,0.11008339,0.3832929,0.083082676,0.45220253,0.08984384,0.56415474,0.16985679,0.6181337,0.16451153,0.46823165,0.3151337,0.48217034,0.3072541,0.1035058,0.3670112,0.13428675,0.36305502,0.55729735,0.44883022,0.59842944,0.43724966,0.54566395,0.68464434,0.5891774,0.65656006,0.7398874,0.9012317,0.8056877,0.8555347,0
