nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,label
0.9173389,0.13313377,0.9087245,0.114620484,0.90691465,0.1163109,0.74460495,0.10023279,0.7856573,0.106694594,0.60095286,0.16233826,0.6139023,0.18185157,0.7051088,0.15106885,0.5783418,0.20098299,0.81935436,0.09448347,0.8054626,0.17093052,0.50688404,0.45143297,0.49185884,0.46312416,0.4915164,0.6595667,0.4075067,0.6815822,0.35339183,0.85774976,0.17261559,0.8978435,1
0.91269296,0.13430175,0.9007308,0.11541238,0.9049714,0.117424175,0.7283514,0.0997715,0.7884908,0.10774011,0.59449875,0.16023299,0.61581624,0.18685696,0.707687,0.14606202,0.5799998,0.22753325,0.8288463,0.08693023,0.78577745,0.22769728,0.50037706,0.45167348,0.49398828,0.46470612,0.48124158,0.66173893,0.4089907,0.68193346,0.34304893,0.8591418,0.17638703,0.8980461,1
0.9102914,0.121987395,0.91259784,0.10631495,0.9081326,0.10517401,0.73238486,0.09762182,0.8012076,0.097691916,0.5988731,0.17533144,0.62572795,0.18113028,0.5947175,0.33900347,0.56595093,0.34137902,0.7335327,0.46056125,0.7381136,0.46906337,0.47385263,0.4538969,0.48343587,0.45927268,0.45849362,0.6466311,0.43138286,0.66470003,0.31537074,0.86309034,0.1905243,0.8890978,1
0.9383501,0.115975305,0.9201548,0.10109231,0.9195641,0.10289369,0.73998755,0.100328125,0.8041615,0.10878062,0.6245393,0.1533105,0.65617216,0.19483566,0.72160167,0.09530277,0.6393421,0.27574405,0.7525105,0.067511365,0.75977314,0.40841293,0.5366521,0.44075346,0.5449085,0.45123237,0.5002086,0.65604,0.47890335,0.65704685,0.35109836,0.895506,0.2188161,0.90350914,1
0.92794883,0.12774782,0.92254514,0.11359152,0.91501474,0.112990804,0.72901464,0.111945815,0.7730005,0.114029646,0.6169385,0.19197601,0.6175002,0.20054807,0.6514188,0.3355865,0.6114068,0.34758842,0.79911745,0.44329497,0.78669655,0.45807132,0.5324136,0.4398288,0.5133783,0.44516695,0.5702399,0.624149,0.46589166,0.63464344,0.48190525,0.856113,0.22720474,0.8900793,1
0.9574257,0.10456177,0.933653,0.08996134,0.9507923,0.08991289,0.6955494,0.08552694,0.8557856,0.090955205,0.5892653,0.15568542,0.6021032,0.17109397,0.6699397,0.3108331,0.5669253,0.3316063,0.8150919,0.42324314,0.7783581,0.4446661,0.50437015,0.4414084,0.5046972,0.4508142,0.47775617,0.65666556,0.48251,0.66535383,0.3401802,0.80440956,0.3198305,0.80749226,1
0.9880033,0.14299802,0.96424496,0.12725182,0.9909476,0.12543789,0.7121475,0.12793612,0.8664497,0.13047901,0.5500693,0.23255229,0.6226881,0.2488215,0.5957762,0.43020958,0.56178546,0.4560246,0.7770882,0.5963457,0.7674826,0.60507035,0.39006016,0.60279423,0.42686212,0.61245185,0.40508512,0.8752993,0.36899737,0.88793904,0.31146896,0.9982622,0.20811246,1.0,1
0.9222024,0.14216284,0.9020982,0.12532644,0.9253627,0.12481165,0.61796623,0.12410865,0.8123397,0.12846433,0.44205102,0.22758453,0.6122106,0.24739906,0.520936,0.42526466,0.5781932,0.4545867,0.8156511,0.5967619,0.8151332,0.6054116,0.31489855,0.60401744,0.43916315,0.6166043,0.274556,0.8752532,0.42013842,0.89078546,0.14363918,1.0,0.2740408,1.0,1
0.93123174,0.14235815,0.91316205,0.1254671,0.9319753,0.12431884,0.6358114,0.12502165,0.81230134,0.12792544,0.459429,0.23000385,0.60194373,0.24805537,0.5485657,0.43027812,0.5783156,0.45732737,0.81934655,0.5988962,0.81702465,0.6077533,0.3244836,0.60899657,0.4318683,0.62111384,0.27811542,0.88012516,0.42018306,0.89559376,0.14265998,1.0,0.27819285,1.0,1
0.8708898,0.14627467,0.8481986,0.13015266,0.8594607,0.12728763,0.57452726,0.12767716,0.74510133,0.12929435,0.40945563,0.22894987,0.6021436,0.2461291,0.4739089,0.4308713,0.623976,0.45957115,0.72107476,0.5920921,0.7749514,0.6006309,0.32764018,0.60251683,0.48553312,0.61352473,0.2482621,0.8715153,0.5005963,0.8889317,0.14989388,1.0,0.39099404,1.0,1
